report_period_start,report_period_end,page_title,page_views,page_path
2025-01-01,2025-12-31,Ohana Festival | Visit Dana Point,3357,/events/ohana-music-festival/
2025-01-01,2025-12-31,Unique Restaurants in Orange County | Visit Dana Point,3305,/dana-point-restaurants/local-hotspots/
2025-01-01,2025-12-31,Dana Point Hiking and Walking Trails - Visit Dana Point,3229,/blog/blog/dana-point-hiking-and-walking-trails/
2025-01-01,2025-12-31,Outlets at San Clemente - Visit Dana Point,3175,/what-to-do/outlets-at-san-clemente/
2025-01-01,2025-12-31,Doheny Surf & Art Festival - Visit Dana Point,3168,/event/doheny-surf-art-festival/
2025-01-01,2025-12-31,Dana Point Surfing | Find Dana Point Surfing Lessons and Rentals,3119,/activities-and-things-to-do/dana-point-surfing/
2025-01-01,2025-12-31,Cosmic Creek Surf Festival & Concert - Visit Dana Point,2973,/event/cosmic-creek-surf-festival-concert/
2025-01-01,2025-12-31,Things To Do Archives - Visit Dana Point,2965,/things-to-do/things-to-do/
2025-01-01,2025-12-31,Captain Dave's Dolphin and Whale Safari - Visit Dana Point,2952,/what-to-do/captain-daves-dolphin-and-whale-safari/
2025-01-01,2025-12-31,Dana Wharf Sportfishing and Whale Watching - Visit Dana Point,2932,/what-to-do/dana-wharf-sportfishing-and-whale-watching/
2025-01-01,2025-12-31,Halloween Spooktacular & Trunk or Treat - Visit Dana Point,2909,/event/halloween-spooktacular-trunk-or-treat-3/
2025-01-01,2025-12-31,OC Parks Sunset Cinema Series - Visit Dana Point,2882,/event/oc-parks-sunset-cinema-series/
2025-01-01,2025-12-31,Waldorf Astoria Monarch Beach Resort & Club - Visit Dana Point,2879,/lodging-hotels/monarch-beach-resort/
